ticker,modal_timing,agreement_share,n_events,n_bmo,n_amc,recent_timing,switched,confidence
LMT,BMO,0.977,43,42,1,BMO,False,high
LNT,AMC,0.932,44,3,41,AMC,False,high
LOW,BMO,0.952,42,40,2,BMO,False,high
LRCX,AMC,1.0,41,0,41,AMC,False,high
LULU,AMC,0.952,42,2,40,AMC,False,high
LUV,BMO,0.857,49,42,7,AMC,True,medium
LVS,AMC,0.957,46,2,44,AMC,False,high
LYB,BMO,1.0,41,41,0,BMO,False,high
LYV,AMC,0.976,42,1,41,AMC,False,high
MA,BMO,1.0,43,43,0,BMO,False,high
MAA,AMC,1.0,41,0,41,AMC,False,high
MAR,BMO,0.619,42,26,16,BMO,False,low
MAS,BMO,0.977,43,42,1,BMO,False,high
MCD,BMO,0.977,44,43,1,BMO,False,high
MCHP,AMC,0.917,48,4,44,AMC,False,high
MCK,AMC,0.721,43,12,31,AMC,False,medium
MCO,BMO,1.0,44,44,0,BMO,False,high
MDLZ,AMC,0.881,42,5,37,AMC,False,medium
MDT,BMO,0.955,44,42,2,BMO,False,high
MET,AMC,0.913,69,6,63,AMC,False,high
META,AMC,1.0,42,0,42,AMC,False,high
MGM,AMC,0.723,47,13,34,AMC,False,medium
MKC,BMO,0.977,43,42,1,BMO,False,high
MLM,BMO,0.65,40,26,14,BMO,False,low
MMM,BMO,0.84,50,42,8,BMO,False,medium
MNST,AMC,0.977,43,1,42,AMC,False,high
MO,BMO,1.0,41,41,0,BMO,False,high
MOS,AMC,0.792,53,11,42,AMC,False,medium
MPC,BMO,0.918,49,45,4,BMO,False,high
MPWR,AMC,1.0,42,0,42,AMC,False,high
MRK,BMO,0.977,43,42,1,BMO,False,high
MRNA,BMO,0.974,39,38,1,BMO,False,high
MRSH,BMO,1.0,42,42,0,BMO,False,high
MRVL,AMC,0.957,23,1,22,AMC,False,high
MS,BMO,1.0,41,41,0,BMO,False,high
MSCI,BMO,1.0,43,43,0,BMO,False,high
MSFT,AMC,1.0,42,0,42,AMC,False,high
MSI,AMC,1.0,43,0,43,AMC,False,high
MTB,BMO,1.0,33,33,0,BMO,False,high
MTD,AMC,0.955,44,2,42,AMC,False,high
MU,AMC,1.0,42,0,42,AMC,False,high
NCLH,BMO,0.957,47,45,2,BMO,False,high
NDAQ,BMO,0.977,43,42,1,BMO,False,high
NDSN,AMC,0.953,43,2,41,AMC,False,high
NEE,BMO,0.977,43,42,1,BMO,False,high
NEM,BMO,0.674,43,29,14,AMC,True,low
NFLX,AMC,0.977,44,1,43,AMC,False,high
NI,BMO,1.0,42,42,0,BMO,False,high
NKE,AMC,1.0,53,0,53,AMC,False,high
NOC,BMO,1.0,42,42,0,BMO,False,high
NOW,AMC,1.0,43,0,43,AMC,False,high
NRG,BMO,0.977,43,42,1,BMO,False,high
NSC,BMO,0.886,44,39,5,BMO,False,medium
NTAP,AMC,1.0,43,0,43,AMC,False,high
NTRS,BMO,0.977,43,42,1,BMO,False,high
NUE,AMC,0.957,23,1,22,AMC,False,high
NVDA,AMC,0.977,43,1,42,AMC,False,high
NVR,AMC,0.542,24,11,13,AMC,False,low
NWS,AMC,0.977,44,1,43,AMC,False,high
NWSA,AMC,0.977,44,1,43,AMC,False,high
NXPI,BMO,0.897,29,26,3,BMO,False,medium
O,AMC,1.0,45,0,45,AMC,False,high
ODFL,BMO,1.0,38,38,0,BMO,False,high
OKE,AMC,0.977,43,1,42,AMC,False,high
OMC,BMO,0.548,42,23,19,AMC,True,low
ON,BMO,0.929,42,39,3,BMO,False,high
ORCL,AMC,1.0,43,0,43,AMC,False,high
ORLY,AMC,0.976,42,1,41,AMC,False,high
OTIS,BMO,1.0,25,25,0,BMO,False,high
OXY,AMC,0.719,57,16,41,BMO,True,medium
PANW,AMC,0.952,42,2,40,AMC,False,high
PAYX,BMO,0.658,38,25,13,BMO,False,low
PCAR,BMO,1.0,42,42,0,BMO,False,high
PCG,BMO,0.929,42,39,3,BMO,False,high
PEG,BMO,0.969,32,31,1,BMO,False,high
PEP,AMC,0.524,42,20,22,AMC,False,low
PFE,BMO,0.957,46,44,2,BMO,False,high
PFG,AMC,0.911,45,4,41,AMC,False,high
PG,BMO,1.0,42,42,0,BMO,False,high
PGR,BMO,0.882,34,30,4,BMO,False,medium
PH,BMO,1.0,38,38,0,BMO,False,high
PHM,BMO,1.0,42,42,0,BMO,False,high
PKG,AMC,0.929,42,3,39,AMC,False,high
PLD,BMO,0.952,42,40,2,BMO,False,high
PLTR,AMC,0.625,24,9,15,AMC,False,low
PM,BMO,0.972,36,35,1,BMO,False,high
PNC,AMC,0.694,49,15,34,BMO,True,low
PNR,BMO,0.977,44,43,1,BMO,False,high
PNW,BMO,1.0,42,42,0,BMO,False,high
PODD,AMC,0.889,45,5,40,BMO,True,medium
PPG,AMC,0.911,45,4,41,AMC,False,high
PPL,BMO,0.857,42,36,6,BMO,False,medium
PRU,AMC,1.0,48,0,48,AMC,False,high
PSA,AMC,0.902,41,4,37,AMC,False,high
PSKY,AMC,1.0,3,0,3,AMC,False,low
PSX,BMO,0.929,28,26,2,BMO,False,high
PTC,AMC,0.977,44,1,43,AMC,False,high
PWR,BMO,1.0,42,42,0,BMO,False,high
PYPL,AMC,0.792,48,10,38,BMO,True,medium
Q,BMO,0.75,4,3,1,BMO,False,medium
QCOM,AMC,1.0,42,0,42,AMC,False,high
RCL,BMO,1.0,42,42,0,BMO,False,high
REG,AMC,0.844,45,7,38,AMC,False,medium
REGN,BMO,0.966,58,56,2,BMO,False,high
RF,BMO,0.558,43,24,19,BMO,False,low
RJF,AMC,1.0,53,0,53,AMC,False,high
RL,BMO,1.0,42,42,0,BMO,False,high
RMD,AMC,1.0,42,0,42,AMC,False,high
ROK,BMO,1.0,43,43,0,BMO,False,high
ROL,BMO,0.625,40,25,15,AMC,True,low
ROP,BMO,1.0,41,41,0,BMO,False,high
ROST,AMC,1.0,42,0,42,AMC,False,high
RSG,AMC,1.0,42,0,42,AMC,False,high
RTX,BMO,1.0,41,41,0,BMO,False,high
RVTY,AMC,0.529,51,24,27,BMO,True,low
SBAC,AMC,1.0,42,0,42,AMC,False,high
SBUX,AMC,0.955,44,2,42,AMC,False,high
SCHW,AMC,1.0,42,0,42,AMC,False,high
SHW,BMO,1.0,44,44,0,BMO,False,high
