collected_at,collection_date,ticker,status,earnings_date,days_to_earnings,spot,expiry,strike,implied_em,note,days_expiry_after_earnings,moneyness,call_bid,call_ask,call_last,call_iv,call_volume,call_oi,put_bid,put_ask,put_last,put_iv,put_volume,put_oi,call_mid,put_mid,price_source,straddle_price,call_rel_spread,put_rel_spread,parity_gap,hist_em,sector,divergence
2026-07-30T15:20:13,2026-07-30,COIN,ok,2026-07-30,0.0,163.795,2026-07-31,165.0,0.073873,,1.0,0.00736,4.8,5.15,4.9,1.1450238061523437,981.0,6526.0,6.9,7.35,7.12,1.3403353295898437,1104.0,1792.0,4.975,7.125,mid,12.1,0.07035,0.06316,0.005769406880551868,0.0886461686037481,Financials,0.8333467894164184
2026-07-29T15:55:43,2026-07-29,PG,ok,2026-07-29,0.0,145.88,2026-07-31,146.0,0.021936,,2.0,0.00082,0.89,1.1,0.97,0.2177812597656249,366.0,67.0,1.94,2.47,2.32,0.4585015087890626,425.0,352.0,0.995,2.205,mid,3.2,0.21106,0.24036,0.007471894707979185,0.0185605997099777,Consumer Staples,1.1818583635639626
2026-07-29T15:55:18,2026-07-29,MSFT,ok,2026-07-29,0.0,391.55,2026-07-31,392.5,0.067871,,2.0,0.00243,13.8,14.4,14.95,1.0294237982177736,2352.0,3540.0,12.2,12.75,12.51,0.8447281152343749,4318.0,617.0,14.1,12.475,mid,26.575,0.04255,0.04409,0.006576427020814682,0.0495253832864634,Information Technology,1.3704285660430404
2026-07-29T15:55:08,2026-07-29,MGM,ok,2026-07-29,0.0,45.85,2026-07-31,46.0,0.056707,,2.0,0.00327,1.15,1.55,1.6,0.85742330078125,18.0,1529.0,0.95,1.55,1.45,0.7070341796875,4.0,27.0,1.35,1.25,mid,2.6,0.2963,0.48,0.0054525627044711015,0.0688052523122149,Consumer Discretionary,0.8241667328343316
2026-07-29T15:55:07,2026-07-29,META,ok,2026-07-29,0.0,582.455,2026-07-31,582.5,0.08241,,2.0,8e-05,25.85,27.2,30.91,1.2576941412353515,10.0,122.0,20.9,22.05,21.15,1.021489267578125,177.0,372.0,26.525,21.475,mid,48.0,0.0509,0.05355,0.008747456885081101,0.072815453969946,Communication Services,1.13176524359807
2026-07-29T15:54:50,2026-07-29,LHX,ok,2026-07-29,0.0,295.405,2026-07-31,300.0,0.040791,,2.0,0.01555,3.0,5.9,5.6,0.602787175292969,17.0,74.0,6.7,8.5,6.39,0.5500533276367189,8.0,215.0,4.45,7.6,mid,12.05,0.65169,0.23684,0.004891589512702877,0.0230590790085204,Industrials,1.768977849675939
2026-07-29T15:54:22,2026-07-29,HUM,ok,2026-07-29,0.0,364.62,2026-07-31,365.0,0.038808,,2.0,0.00104,4.8,11.0,9.5,0.6130409790039064,36.0,5.0,4.0,8.5,5.2,0.6297644445800781,17.0,68.0,7.9,6.25,mid,14.15,0.78481,0.72,0.005567440074598137,0.0548778112276986,Health Care,0.7071710611594574
2026-07-29T15:54:17,2026-07-29,HOOD,ok,2026-07-29,0.0,89.54,2026-07-31,90.0,0.093813,,2.0,0.00514,4.0,4.3,4.15,1.347171232910156,2247.0,947.0,4.15,4.35,4.35,1.2392616162109371,11083.0,3817.0,4.15,4.25,mid,8.4,0.07229,0.04706,0.004020549475094923,0.0814436354743601,Financials,1.151876379947872
2026-07-29T15:54:01,2026-07-29,GEHC,ok,2026-07-29,0.0,71.73,2026-07-31,68.0,0.049491,,2.0,-0.052,2.7,3.9,3.3,0.487309814453125,4613.0,4631.0,0.15,0.35,0.21,0.5478560839843751,212.0,92.0,3.3,0.25,mid,3.55,0.36364,0.8,0.009479994423532787,0.057882984015722,Health Care,0.8550181170092649
2026-07-29T15:56:09,2026-07-29,SBUX,ok,2026-07-29,0.0,103.6999,2026-07-31,104.0,0.058872,,2.0,0.00289,2.74,2.92,2.83,0.7944356494140624,284.0,425.0,3.1,3.45,3.27,0.8300798242187499,208.0,263.0,2.83,3.2750000000000004,mid,6.105,0.0636,0.10687,0.0013973012510138092,0.0434005940081388,Consumer Discretionary,1.3564791299621357
2026-07-30T15:20:05,2026-07-30,CI,ok,2026-07-30,0.0,287.82,2026-07-31,287.5,0.020412,,1.0,-0.00111,2.8,5.3,4.3,0.6049844189453126,33.0,9.0,1.2,2.45,2.55,0.3068916967773437,42.0,19.0,4.05,1.825,mid,5.875,0.61728,0.68493,0.006618720033354283,0.0599323634036819,Health Care,0.3405839322990223
2026-07-30T15:19:52,2026-07-30,BMY,ok,2026-07-30,0.0,65.02,2026-07-31,66.0,0.016533,,1.0,0.01507,0.17,0.28,0.17,0.3398503515625,825.0,3090.0,0.59,1.11,2.12,0.2402419726562499,1.0,1.0,0.225,0.8500000000000001,mid,1.075,0.48889,0.61176,0.005459858505075423,0.0577760658351202,Health Care,0.28615655567794174
